,Theme,URL,IMG,Lines
0,APPRECIATION,/inspirational-quotes/3254-appreciation-can-make-a-day-even-change-a,https://assets.passiton.com/quotes/quote_artwork/3254/medium/20240531_friday_quote.jpg,"Appreciation can make a day, even change a life. Your willingness to put it into words is all that is necessary. "
1,APPRECIATION,/inspirational-quotes/6639-sometimes-you-will-never-know-the-value-of-a,https://assets.passiton.com/quotes/quote_artwork/6639/medium/20240530_thursday_quote.jpg,Sometimes you will never know the value of a moment until it becomes a memory. 
2,APPRECIATION,/inspirational-quotes/6811-now-and-then-its-good-to-pause-in-our-pursuit,https://assets.passiton.com/quotes/quote_artwork/6811/medium/20240529_wednesday_quote.jpg,Now and then it's good to pause in our pursuit of happiness and just be happy. 
3,APPRECIATION,/inspirational-quotes/8381-strive-to-find-things-to-be-thankful-for-and,https://assets.passiton.com/quotes/quote_artwork/8381/medium/20240528_tuesday_quote.jpg,"Strive to find things to be thankful for, and just look for the good in who you are. "
4,APPRECIATION,/inspirational-quotes/7426-as-we-express-our-gratitude-we-must-never,https://assets.passiton.com/quotes/quote_artwork/7426/medium/20240527_monday_quote.jpg,"As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them. "
5,SELF-CARE,/inspirational-quotes/8258-mind-body-soul-these-are-the-three-things,https://assets.passiton.com/quotes/quote_artwork/8258/medium/20240524_friday_quote.jpg,Mind. Body. Soul. These are the three things self-care is all about. 
6,SELF-CARE,/inspirational-quotes/6899-adopt-the-pace-of-nature-her-secret-is-patience,https://assets.passiton.com/quotes/quote_artwork/6899/medium/20240523_thursday_quote.jpg,Adopt the pace of nature: her secret is patience. 
7,SELF-CARE,/inspirational-quotes/7055-there-s-only-one-corner-of-the-universe-you-can,https://assets.passiton.com/quotes/quote_artwork/7055/medium/20240522_wednesday_quote.jpg,"There’s only one corner of the universe you can be certain of improving, and that’s your own self. "
8,SELF-CARE,/inspirational-quotes/7237-if-your-compassion-does-not-include-yourself,https://assets.passiton.com/quotes/quote_artwork/7237/medium/20240521_tuesday_quote.jpg,"If your compassion does not include yourself, it is incomplete. "
9,SELF-CARE,/inspirational-quotes/7961-talk-to-yourself-like-you-would-to-someone-you,https://assets.passiton.com/quotes/quote_artwork/7961/medium/20240520_monday_quote.jpg,Talk to yourself like you would to someone you love. 
10,GET OUTSIDE,/inspirational-quotes/7928-the-world-is-incomprehensibly-beautiful-an,https://assets.passiton.com/quotes/quote_artwork/7928/medium/20240517_friday_quote.jpg,The world is incomprehensibly beautiful—an endless prospect of magic and wonder. 
11,GET OUTSIDE,/inspirational-quotes/8131-nature-brings-solace-in-all-troubles,https://assets.passiton.com/quotes/quote_artwork/8131/medium/20240516_thursday_quote.jpg,Nature brings solace in all troubles. 
12,GET OUTSIDE,/inspirational-quotes/8428-spring-is-natures-way-of-saying-lets-party,https://assets.passiton.com/quotes/quote_artwork/8428/medium/20240515_wednesday_quote.jpg,"Spring is nature's way of saying, 'Let's party!’ "
13,GET OUTSIDE,/inspirational-quotes/8380-the-wilderness-holds-answers-to-questions-we,https://assets.passiton.com/quotes/quote_artwork/8380/medium/20240514_tuesday_quote.jpg,The wilderness holds answers to questions we have not yet learned to ask. 
